User_ID,Series_Title,Watched_to_End,Age_Group
1,The Birds,True,seniors
1,Ladri di biciclette,True,seniors
1,8½,True,seniors
1,Il postino,True,seniors
1,Gegen die Wand,True,seniors
1,Kaze no tani no Naushika,True,seniors
1,End of Watch,True,seniors
1,What's Eating Gilbert Grape,True,seniors
2,Ford v Ferrari,True,adults
2,Sicario,True,adults
2,Rashômon,True,adults
2,Paan Singh Tomar,True,adults
2,The Incredibles,True,adults
2,Avatar,True,adults
2,Naked,True,adults
2,"South Park: Bigger, Longer & Uncut",True,adults
2,Eastern Promises,True,adults
2,Wreck-It Ralph,True,adults
2,12 Angry Men,True,adults
2,The Hobbit: An Unexpected Journey,True,adults
2,Omohide poro poro,True,adults
3,Down by Law,True,youth
3,Crimes and Misdemeanors,True,youth
3,Apollo 13,False,youth
3,Léon,True,youth
3,Despicable Me,True,youth
3,Le passé,True,youth
3,The Fighter,True,youth
3,Hannah and Her Sisters,False,youth
3,On Golden Pond,True,youth
4,Hedwig and the Angry Inch,True,seniors
4,Höstsonaten,True,seniors
4,Inside Man,True,seniors
4,When Harry Met Sally...,True,seniors
4,Requiem for a Dream,True,seniors
4,American Beauty,True,seniors
4,Happiness,True,seniors
4,Paper Moon,True,seniors
4,Eastern Promises,True,seniors
5,Stardust,True,seniors
5,Ben-Hur,True,seniors
5,Pink,True,seniors
5,"Synecdoche, New York",True,seniors
5,Kari-gurashi no Arietti,True,seniors
5,Interstate 60: Episodes of the Road,True,seniors
5,Trainspotting,False,seniors
5,Amélie,True,seniors
5,Manhattan,True,seniors
5,Aladdin,True,seniors
5,Ferris Bueller's Day Off,True,seniors
6,The Man from Earth,True,seniors
6,Moon,True,seniors
6,Blue Velvet,True,seniors
6,The Adventures of Robin Hood,True,seniors
6,Munna Bhai M.B.B.S.,True,seniors
6,Soul,True,seniors
6,Guardians of the Galaxy Vol. 2,True,seniors
6,Philadelphia,True,seniors
6,Tonari no Totoro,True,seniors
6,Kakushi-toride no san-akunin,False,seniors
6,Dà hóng denglong gaogao guà,True,seniors
6,Kurenai no buta,True,seniors
6,Airplane!,True,seniors
6,Barry Lyndon,True,seniors
7,Bridge of Spies,True,seniors
7,The Shining,True,seniors
7,The Help,True,seniors
7,The Last Samurai,True,seniors
7,In Bruges,True,seniors
7,Jaws,True,seniors
7,Deadpool,True,seniors
7,"I, Daniel Blake",True,seniors
7,Kelly's Heroes,True,seniors
7,Clerks,True,seniors
7,The Ten Commandments,True,seniors
7,La Grande Illusion,True,seniors
7,The Dark Knight Rises,True,seniors
8,Män som hatar kvinnor,True,youth
8,Abre los ojos,False,youth
8,Once Upon a Time in the West,True,youth
8,Leviafan,True,youth
8,Platoon,True,youth
8,Harry Potter and the Sorcerer's Stone,True,youth
8,Gravity,True,youth
8,Mystic River,True,youth
8,Aladdin,True,youth
9,Pirates of the Caribbean: The Curse of the Black Pearl,True,youth
9,When Harry Met Sally...,False,youth
9,Captain Phillips,True,youth
9,The Lives of Others,False,youth
9,L'avventura,True,youth
9,The Grand Budapest Hotel,True,youth
9,Sunrise: A Song of Two Humans,True,youth
9,Dà hóng denglong gaogao guà,True,youth
9,The Dark Knight,True,youth
9,The Secret of Kells,True,youth
9,Blowup,True,youth
9,Oldeuboi,True,youth
9,Star Trek Into Darkness,True,youth
10,Cidade de Deus,True,seniors
10,The General,True,seniors
10,C.R.A.Z.Y.,True,seniors
10,Knives Out,True,seniors
10,La haine,True,seniors
10,The Bridges of Madison County,True,seniors
10,La piel que habito,True,seniors
10,Uri: The Surgical Strike,True,seniors
10,Harry Potter and the Sorcerer's Stone,True,seniors
10,Frost/Nixon,True,seniors
10,The Odd Couple,True,seniors
10,PK,True,seniors
10,Sin City,True,seniors
10,In the Name of the Father,True,seniors
11,Hable con ella,True,youth
11,Adams æbler,True,youth
11,Rocky,True,youth
11,Sholay,True,youth
11,Veer-Zaara,True,youth
12,Avengers: Infinity War,True,adults
12,Låt den rätte komma in,True,adults
12,Harry Potter and the Sorcerer's Stone,True,adults
12,Fargo,True,adults
12,Song of the Sea,False,adults
12,"Aguirre, der Zorn Gottes",True,adults
12,"Paris, Texas",True,adults
13,L.A. Confidential,True,seniors
13,The Princess Bride,True,seniors
13,Casino Royale,True,seniors
13,Pride,True,seniors
13,Todo sobre mi madre,True,seniors
13,Kal Ho Naa Ho,True,seniors
13,A Little Princess,True,seniors
13,The Right Stuff,True,seniors
13,Jaws,True,seniors
13,Avengers: Endgame,True,seniors
13,Rushmore,True,seniors
14,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,True,seniors
14,The Fall,True,seniors
14,The Elephant Man,True,seniors
14,The General,True,seniors
14,Spartacus,True,seniors
14,Kal Ho Naa Ho,True,seniors
14,Mission: Impossible - Fallout,True,seniors
14,Gravity,True,seniors
14,Bir Zamanlar Anadolu'da,True,seniors
14,Kaze tachinu,True,seniors
14,Mimi wo sumaseba,True,seniors
15,Lost in Translation,True,youth
15,The Kid,True,youth
15,Cool Hand Luke,True,youth
15,Mr. Nobody,True,youth
15,Knockin' on Heaven's Door,False,youth
15,The Invisible Man,True,youth
15,300,True,youth
15,Goldfinger,True,youth
15,Toy Story 2,True,youth
15,Control,True,youth
15,The Lady Vanishes,True,youth
16,Inherit the Wind,True,adults
16,The Big Lebowski,True,adults
16,La planète sauvage,True,adults
16,Jojo Rabbit,True,adults
16,City Lights,False,adults
16,Room,True,adults
16,Ghostbusters,False,adults
16,Slumdog Millionaire,True,adults
16,Les quatre cents coups,True,adults
16,Before Sunset,True,adults
16,Up,True,adults
16,"Lock, Stock and Two Smoking Barrels",True,adults
16,A Night at the Opera,True,adults
16,Le scaphandre et le papillon,True,adults
17,Planet of the Apes,True,seniors
17,Druk,True,seniors
17,Airplane!,True,seniors
17,Terminator 2: Judgment Day,True,seniors
17,Giant,True,seniors
17,The Searchers,True,seniors
17,Donnie Darko,False,seniors
17,Festen,True,seniors
17,Sling Blade,True,seniors
18,Omohide poro poro,True,youth
18,Sunset Blvd.,False,youth
18,Jodaeiye Nader az Simin,True,youth
18,Gegen die Wand,True,youth
18,The Game,True,youth
18,Barton Fink,True,youth
18,Being There,True,youth
18,Star Wars,True,youth
18,Heat,True,youth
18,Hot Fuzz,True,youth
18,The Girl with the Dragon Tattoo,False,youth
18,Andaz Apna Apna,True,youth
19,Ratatouille,True,adults
19,Manchester by the Sea,True,adults
19,Singin' in the Rain,True,adults
19,Fargo,True,adults
19,Rockstar,True,adults
19,The Long Goodbye,True,adults
19,Network,True,adults
19,Airplane!,False,adults
19,There Will Be Blood,True,adults
19,As Good as It Gets,True,adults
19,Special Chabbis,True,adults
19,Rogue One,True,adults
19,Withnail & I,True,adults
20,What Ever Happened to Baby Jane?,True,adults
20,Baahubali 2: The Conclusion,False,adults
20,City Lights,False,adults
20,Le locataire,False,adults
20,La vita è bella,False,adults
20,Song of the Sea,True,adults
20,Yeopgijeogin geunyeo,True,adults
20,Per un pugno di dollari,True,adults
20,Happiness,True,adults
20,Butch Cassidy and the Sundance Kid,True,adults
20,All Quiet on the Western Front,True,adults
21,Harry Potter and the Half-Blood Prince,True,seniors
21,Jungfrukällan,True,seniors
21,Dilwale Dulhania Le Jayenge,True,seniors
21,The Invisible Man,True,seniors
21,The Hateful Eight,True,seniors
21,Le locataire,False,seniors
21,Spotlight,True,seniors
21,Carlito's Way,True,seniors
21,Fiddler on the Roof,True,seniors
21,God's Own Country,True,seniors
21,Vicky Donor,True,seniors
21,Soul,True,seniors
21,Kai po che!,True,seniors
22,The Florida Project,False,youth
22,Eternal Sunshine of the Spotless Mind,True,youth
22,Prisoners,True,youth
22,The African Queen,True,youth
22,Catch Me If You Can,True,youth
22,The Philadelphia Story,True,youth
22,Spotlight,True,youth
22,Mou gaan dou,True,youth
23,Bronenosets Potemkin,True,adults
23,Das weiße Band - Eine deutsche Kindergeschichte,True,adults
23,Toy Story,True,adults
23,Little Women,True,adults
23,Carlito's Way,True,adults
23,Ikiru,True,adults
23,The Pursuit of Happyness,True,adults
23,Jagten,True,adults
23,Only the Brave,True,adults
24,Le charme discret de la bourgeoisie,True,seniors
24,Hedwig and the Angry Inch,True,seniors
24,Vicky Donor,True,seniors
24,The Blind Side,True,seniors
24,The Perks of Being a Wallflower,True,seniors
24,Control,True,seniors
24,Blow,True,seniors
24,Batoru rowaiaru,True,seniors
24,3:10 to Yuma,True,seniors
24,"Planes, Trains & Automobiles",True,seniors
25,Beauty and the Beast,True,adults
25,The General,True,adults
25,The Hurricane,True,adults
25,Gake no ue no Ponyo,True,adults
25,The Taking of Pelham One Two Three,True,adults
25,Invasion of the Body Snatchers,False,adults
25,Pâfekuto burû,True,adults
25,Persona,False,adults
25,Mr. Nobody,True,adults
25,Sherlock Jr.,True,adults
25,M - Eine Stadt sucht einen Mörder,True,adults
25,Serpico,True,adults
25,Bound by Honor,True,adults
25,Le charme discret de la bourgeoisie,True,adults
25,The Green Mile,True,adults
25,25th Hour,False,adults
26,The Outlaw Josey Wales,True,adults
26,Jodaeiye Nader az Simin,True,adults
26,Toki o kakeru shôjo,True,adults
26,Eastern Promises,True,adults
26,Harry Potter and the Prisoner of Azkaban,True,adults
26,Once Upon a Time in America,False,adults
26,Mary and Max,True,adults
26,My Left Foot: The Story of Christy Brown,False,adults
26,Just Mercy,True,adults
27,Zootopia,True,seniors
27,Frankenstein,True,seniors
27,Star Wars: Episode V - The Empire Strikes Back,True,seniors
27,Blood Diamond,True,seniors
27,The Big Sleep,True,seniors
27,Incendies,True,seniors
28,Togo,True,youth
28,Taxi Driver,True,youth
28,Enter the Dragon,True,youth
28,Mr. Smith Goes to Washington,True,youth
28,"Aguirre, der Zorn Gottes",True,youth
28,Gladiator,True,youth
28,The Night of the Hunter,True,youth
28,"Monsters, Inc.",True,youth
28,Pan's Labyrinth,True,youth
29,The Untouchables,True,seniors
29,Mad Max: Fury Road,True,seniors
29,La leggenda del pianista sull'oceano,True,seniors
29,Searching,True,seniors
29,Giant,True,seniors
29,Jodaeiye Nader az Simin,True,seniors
29,Toy Story 2,True,seniors
29,Serenity,True,seniors
30,Andrei Rublev,True,seniors
30,Who's Afraid of Virginia Woolf?,True,seniors
30,Primal Fear,True,seniors
30,L'avventura,True,seniors
30,The Color Purple,True,seniors
30,Die Hard,True,seniors
30,Amarcord,True,seniors
30,Dip huet seung hung,True,seniors
30,Uri: The Surgical Strike,True,seniors
30,Fantasia,True,seniors
30,Koe no katachi,True,seniors
31,The Innocents,True,adults
31,The Message,True,adults
31,The Godfather: Part III,True,adults
31,Baahubali 2: The Conclusion,True,adults
31,À bout de souffle,True,adults
31,Blood Diamond,True,adults
31,Funny Games,True,adults
31,Cowboy Bebop: Tengoku no tobira,True,adults
31,Mimi wo sumaseba,True,adults
31,The Curious Case of Benjamin Button,True,adults
31,Django Unchained,True,adults
31,The Straight Story,False,adults
32,Nosferatu,True,youth
32,Cape Fear,True,youth
32,Kai po che!,True,youth
32,Searching,True,youth
32,L'avventura,True,youth
32,Barfi!,True,youth
32,Kingsman: The Secret Service,True,youth
32,A Little Princess,True,youth
32,In the Heat of the Night,True,youth
32,Funny Games,True,youth
33,Edward Scissorhands,True,adults
33,Blowup,True,adults
33,The Right Stuff,True,adults
33,Pink Floyd: The Wall,False,adults
33,Rio Bravo,True,adults
33,La battaglia di Algeri,True,adults
33,Sweet Smell of Success,True,adults
33,Lethal Weapon,True,adults
33,Inglourious Basterds,False,adults
33,"Il buono, il brutto, il cattivo",True,adults
34,American History X,True,youth
34,The Machinist,True,youth
34,Män som hatar kvinnor,True,youth
34,Kai po che!,False,youth
34,The Deer Hunter,True,youth
34,Call Me by Your Name,True,youth
34,Children of Men,True,youth
34,Dil Bechara,True,youth
34,Short Term 12,True,youth
34,The Dark Knight Rises,True,youth
34,Ocean's Eleven,True,youth
34,Das Experiment,True,youth
34,Blood Simple,True,youth
35,Ang-ma-reul bo-at-da,True,youth
35,Fight Club,True,youth
35,Inside Man,True,youth
35,Mad Max 2,True,youth
35,Haider,True,youth
35,Gravity,True,youth
35,Children of Men,True,youth
35,À bout de souffle,True,youth
35,The Hateful Eight,True,youth
35,Song of the Sea,True,youth
35,Aliens,False,youth
35,Ben-Hur,True,youth
35,The Little Mermaid,True,youth
35,G.O.R.A.,True,youth
35,Amores perros,True,youth
36,City Lights,True,adults
36,Being John Malkovich,True,adults
36,Rockstar,False,adults
36,The Quiet Man,True,adults
36,Nuovo Cinema Paradiso,True,adults
36,Hachi: A Dog's Tale,True,adults
36,The Kid,True,adults
36,Double Indemnity,False,adults
36,Andrei Rublev,True,adults
37,The Color Purple,True,youth
37,Bacheha-Ye aseman,True,youth
37,Freaks,True,youth
37,Apollo 13,True,youth
37,Wreck-It Ralph,True,youth
37,Dogville,True,youth
37,Who's Afraid of Virginia Woolf?,True,youth
37,A Beautiful Mind,True,youth
37,Dazed and Confused,False,youth
37,Spider-Man: Into the Spider-Verse,False,youth
38,Monty Python and the Holy Grail,True,seniors
38,Togo,True,seniors
38,Children of Men,True,seniors
38,True Grit,True,seniors
38,Mononoke-hime,True,seniors
38,Miller's Crossing,True,seniors
39,The Matrix,True,adults
39,Room,False,adults
39,Hævnen,True,adults
39,Hotaru no haka,True,adults
39,The Warriors,True,adults
39,To Have and Have Not,True,adults
39,Billy Elliot,True,adults
40,The Apartment,True,youth
40,The Circus,True,youth
40,Children of Men,True,youth
40,The Irishman,True,youth
40,Cat on a Hot Tin Roof,False,youth
40,Blood Simple,True,youth
40,Despicable Me,True,youth
40,A Christmas Story,False,youth
